Ticker,MS(0),ROIC(0),MS(5),ROIC(5),MS(10),ROIC(10)
ATRS,5.11,0.68,2.97,0.42,2.22,0.32
ANTH,48.85,2.63,1.88,0.47,1.0,0.27
ABAC,0.61,0.05,0.61,0.05,0.61,0.05
ATNY,0.86,0.06,0.79,0.05,0.74,0.05
APOG,2.66,0.1,2.66,0.1,2.66,0.1
APOL,0.8,0.1,0.8,0.1,0.8,0.1
AAPL,3.08,0.28,2.92,0.27,2.81,0.25
ARCI,0.58,0.14,0.58,0.14,0.58,0.14
APDN,11.05,3.38,7.28,2.05,5.81,1.59
AGTC,3.38,0.34,2.94,0.28,2.68,0.25
AMAT,2.04,0.24,1.56,0.18,1.3,0.15
AMCC,2.23,1.08,0.58,0.29,0.36,0.18
AAOI,1.38,0.13,1.16,0.11,1.04,0.09
AREX,0.4,0.05,0.4,0.05,0.4,0.05
APRI,5.91,2.32,1.76,0.84,1.17,0.58
AQXP,0.18,0.81,0.1,0.48,0.07,0.37
ARDM,1.9,0.67,0.99,0.34,0.75,0.26
PETX,2.57,0.3,2.15,0.25,1.91,0.22
ARCW,1.58,0.05,1.58,0.05,1.58,0.05
ABIO,1.15,0.79,0.7,0.51,0.54,0.41
ARCB,0.99,0.08,0.99,0.08,0.99,0.08
ACGL,0.42,0.04,0.42,0.04,0.42,0.04
ACAT,1.33,0.18,1.12,0.15,1.0,0.13
ARDX,1.92,0.34,1.2,0.2,0.93,0.15
ARNA,4.1,0.64,2.24,0.37,1.65,0.28
AGII,0.24,0.03,0.24,0.03,0.24,0.03
ARGS,2.99,1.29,1.23,0.58,0.85,0.41
ARIS,1.34,0.12,1.14,0.1,1.01,0.09
ARIA,3.45,0.58,2.03,0.31,1.5,0.22
ARKR,1.4,0.12,1.4,0.12,1.4,0.12
ARTX,0.74,0.08,0.69,0.08,0.66,0.07
ARQL,1.95,0.61,0.85,0.3,0.57,0.2
ARRY,6.44,0.9,3.21,0.42,2.26,0.29
ARRS,1.51,0.21,1.18,0.16,1.01,0.14
ARWR,2.38,0.51,1.9,0.42,1.66,0.37
ARTNA,0.78,0.05,0.78,0.05,0.78,0.05
ARTW,0.89,0.08,0.86,0.08,0.83,0.08
ARUN,4.21,0.33,2.52,0.2,1.91,0.15
ASNA,0.83,0.05,0.83,0.05,0.83,0.05
ASCMA,0.98,0.04,0.98,0.04,0.98,0.04
ASTI,1.01,1.76,0.46,0.58,0.32,0.38
AZPN,10.4,0.6,6.7,0.4,5.19,0.32
ASMB,3.43,0.78,2.13,0.39,1.59,0.27
ASTE,1.24,0.09,1.15,0.09,1.09,0.08
ALOT,1.25,0.15,1.07,0.13,0.96,0.11
ATRO,3.17,0.15,3.17,0.15,3.17,0.15
ASTC,1.22,0.19,1.07,0.17,0.97,0.15
ASUR,1.39,0.15,1.11,0.12,0.95,0.1
ATRA,11.68,0.62,9.01,0.43,7.63,0.34
ATHN,5.4,0.11,4.57,0.09,4.09,0.08
ATHX,3.47,1.38,1.07,0.51,0.69,0.34
AAME,0.26,0.02,0.26,0.02,0.26,0.02
ATNI,1.25,0.15,1.11,0.13,1.01,0.12
AAWW,0.74,0.04,0.74,0.04,0.74,0.04
AFH,0.79,0.05,0.79,0.05,0.79,0.05
ATML,2.38,0.26,1.5,0.16,1.15,0.12
ATOS,3.71,0.97,2.49,0.73,1.97,0.61
ATRC,3.7,0.22,2.88,0.17,2.44,0.15
ATRI,3.58,0.26,3.32,0.25,3.13,0.23
ATRM,0.87,0.69,0.75,0.55,0.67,0.45
ADNC,1.15,0.78,0.54,0.43,0.38,0.31
ASPX,21.33,0.64,14.94,0.43,12.27,0.35
ADAT,1.23,1.07,0.86,0.78,0.68,0.64
ABTL,1.42,0.06,1.42,0.06,1.42,0.06
ADSK,2.96,0.18,2.11,0.13,1.71,0.1
ADP,0.93,0.06,0.93,0.06,0.93,0.06
AVGO,3.3,0.2,2.89,0.17,2.64,0.15
AAVL,5.4,0.43,4.72,0.35,4.35,0.31
AVEO,1.67,0.91,0.46,0.31,0.28,0.19
AVNW,0.33,0.28,0.23,0.19,0.18,0.15
AVID,3.32,0.61,1.34,0.25,0.89,0.17
CAR,0.55,0.04,0.55,0.04,0.55,0.04
AWRE,1.8,0.17,1.45,0.15,1.26,0.13
ACLS,1.33,0.2,0.91,0.14,0.71,0.11
AXPW,0.85,1.42,0.43,0.83,0.3,0.62
AXGN,6.73,0.62,4.74,0.46,3.86,0.39
AXTI,0.51,0.05,0.48,0.05,0.45,0.05
BEAV,1.31,0.15,1.19,0.14,1.11,0.13
BCPC,2.35,0.12,2.32,0.11,2.29,0.11
BWINA,0.43,0.04,0.43,0.04,0.43,0.04
BBSI,0.73,0.25,0.73,0.25,0.73,0.25
BSET,1.28,0.07,1.28,0.07,1.28,0.07
BV,1.44,0.22,1.13,0.17,0.97,0.15
BDCV,0.69,0.05,0.69,0.05,0.69,0.05
BECN,1.27,0.09,1.27,0.09,1.27,0.09
BBGI,0.67,0.06,0.67,0.06,0.67,0.06
BEBE,1.1,0.21,1.1,0.21,1.1,0.21
BBBY,2.06,0.23,2.06,0.23,2.06,0.23
BELFA,0.71,0.03,0.71,0.03,0.71,0.03
BNFT,7.67,0.74,4.77,0.45,3.71,0.35
BGMD,5.4,1.29,1.58,0.48,0.95,0.3
BGCP,1.06,0.04,1.06,0.04,1.06,0.04
BGFV,0.75,0.06,0.75,0.06,0.75,0.06
BIND,2.47,0.94,1.08,0.46,0.75,0.33
BASI,0.96,0.07,0.9,0.06,0.85,0.06
BIOC,7.21,1.79,2.34,0.77,1.47,0.51
BCRX,5.44,0.85,2.66,0.38,1.87,0.26
BIOD,3.16,1.31,1.07,0.5,0.69,0.33
BDSI,5.42,0.75,2.28,0.34,1.54,0.23
BIIB,6.43,0.44,4.82,0.32,4.02,0.27
BIOL,2.08,0.62,1.7,0.46,1.47,0.37
BLFS,1.47,0.26,1.32,0.23,1.22,0.21
BMRN,7.78,0.24,5.32,0.16,4.25,0.13
BPTH,7.89,0.38,5.93,0.29,4.93,0.24
BRLI,2.1,0.19,2.1,0.19,2.1,0.19
BIOS,0.96,0.11,0.96,0.11,0.96,0.11
BSTC,8.21,0.31,7.27,0.27,6.64,0.24
BSPM,0.32,0.07,0.29,0.06,0.26,0.06
BOTA,0.93,0.44,0.56,0.28,0.42,0.21
TECH,3.41,0.19,3.16,0.18,2.98,0.17
BEAT,2.02,0.11,1.74,0.09,1.57,0.08
BDMS,1.41,0.06,1.41,0.06,1.41,0.06
BJRI,2.07,0.06,2.07,0.06,2.07,0.06
BBOX,0.66,0.24,0.66,0.24,0.66,0.24
BDE,1.0,0.03,1.0,0.03,1.0,0.03
BLKB,2.87,0.17,2.35,0.13,2.05,0.11
HAWK,1.46,0.06,1.46,0.06,1.46,0.06
BKCC,0.88,0.04,0.88,0.04,0.88,0.04
BLMN,1.25,0.06,1.25,0.06,1.25,0.06
BCOR,0.97,0.17,0.93,0.16,0.89,0.15
BBLU,0.82,0.29,0.82,0.29,0.82,0.29
NILE,2.16,0.12,2.16,0.12,2.16,0.12
BLUE,7.67,0.37,6.31,0.27,5.59,0.23
BKEP,1.33,0.1,1.33,0.1,1.33,0.1
BOBE,1.46,0.02,1.46,0.02,1.46,0.02
WIFI,1.4,0.15,1.19,0.13,1.07,0.11
BAMM,0.27,0.11,0.27,0.11,0.27,0.11
BRDR,1.28,0.08,1.14,0.07,1.04,0.07
EPAY,1.78,0.06,1.54,0.06,1.39,0.05
BDBD,1.43,0.22,1.43,0.22,1.43,0.22
BLVD,0.31,0.0,0.31,0.0,0.31,0.0
BCLI,7.68,1.28,3.81,0.62,2.76,0.45
BBRG,1.13,0.06,1.13,0.06,1.13,0.06
BBEP,0.61,0.05,0.61,0.05,0.61,0.05
BLIN          ,0.52,0.26,0.44,0.22,0.4,0.2
BRID,1.31,0.09,1.31,0.09,1.31,0.09
BCOV,1.71,0.34,1.11,0.22,0.86,0.17
BRCM,2.34,0.26,1.47,0.16,1.12,0.12
BSFT,2.4,0.18,1.83,0.13,1.54,0.11
BVSN,0.66,0.32,0.44,0.22,0.35,0.17
BWEN,0.47,0.07,0.47,0.07,0.47,0.07
BRCD,1.48,0.2,1.18,0.15,1.0,0.13
BRKS,0.98,0.09,0.82,0.07,0.73,0.07
BRKR,1.91,0.14,1.47,0.11,1.23,0.09
BSQR,1.33,0.1,1.15,0.09,1.02,0.08
BWLD,4.09,0.18,4.09,0.18,4.09,0.18
BLDR,2.87,0.09,2.87,0.09,2.87,0.09
CHRW,3.54,0.25,3.54,0.25,3.54,0.25
CA,1.41,0.15,1.23,0.13,1.11,0.12
CCMP,2.2,0.23,1.7,0.18,1.43,0.15
CDNS,2.1,0.29,1.39,0.18,1.1,0.14
CDZI,3.81,0.17,3.81,0.17,3.81,0.17
CACQ,0.8,0.02,0.8,0.02,0.8,0.02
CZR,1.04,0.04,1.04,0.04,1.04,0.04
PRSS,0.59,0.33,0.42,0.23,0.34,0.19
CLMS,0.49,0.09,0.49,0.09,0.49,0.09
CAMP,3.66,0.23,2.86,0.18,2.43,0.15
CVGW,3.24,0.3,3.24,0.3,3.24,0.3
CALD,4.03,0.22,3.08,0.16,2.58,0.13
CALM,2.26,0.25,2.26,0.25,2.26,0.25
CLMT,1.22,0.05,1.22,0.05,1.22,0.05
ABCD,1.65,0.12,1.39,0.11,1.23,0.09
CGIX,2.06,0.47,1.72,0.4,1.52,0.36
CPHC,1.09,0.1,1.09,0.1,1.09,0.1
CPLA,3.12,0.26,3.12,0.26,3.12,0.26
CSWC,0.92,0.01,0.92,0.01,0.92,0.01
CLAC,0.35,0.01,0.35,0.01,0.35,0.01
CAPN,5.32,2.23,2.92,0.72,2.12,0.46
CAPR,8.88,0.86,4.0,0.42,2.83,0.31
CPST,2.25,0.3,1.77,0.24,1.51,0.2
CARA,4.78,0.51,3.09,0.35,2.45,0.28
CARB,2.31,0.27,1.54,0.18,1.21,0.14
CRDC,0.96,0.76,0.6,0.45,0.45,0.34
CSII,6.26,0.29,4.91,0.23,4.2,0.2
CATM,1.83,0.09,1.83,0.09,1.83,0.09
CDNA,1.2,0.15,1.01,0.12,0.89,0.1
CECO,0.52,0.25,0.52,0.25,0.52,0.25
CKEC,1.39,0.05,1.39,0.05,1.39,0.05
CRZO,1.37,0.08,1.37,0.08,1.37,0.08
TAST,1.31,0.03,1.31,0.03,1.31,0.03
CRTN,0.7,0.08,0.7,0.08,0.7,0.08
CASM,2.82,0.62,1.61,0.37,1.18,0.27
CSCD,1.75,0.22,1.37,0.17,1.16,0.14
CWST,1.12,0.04,1.12,0.04,1.12,0.04
CASY,1.73,0.12,1.73,0.12,1.73,0.12
CASI,5.2,2.23,3.06,1.39,2.29,1.06
CPRX,6.48,0.63,4.29,0.4,3.43,0.31
CTRX,1.58,0.06,1.58,0.06,1.58,0.06
CVCO,1.36,0.07,1.36,0.07,1.36,0.07
CAVM,8.94,0.47,4.37,0.23,3.1,0.16
CBOE,12.43,0.81,12.43,0.81,12.43,0.81
CDW,1.61,0.11,1.61,0.11,1.61,0.11
CECE,1.05,0.06,1.05,0.06,1.05,0.06
CPXX,2.29,1.08,1.28,0.54,0.96,0.39
CELG,5.71,0.32,4.15,0.22,3.4,0.18
CLDN,0.84,0.75,0.52,0.43,0.4,0.32
CLDX,10.29,0.8,5.33,0.44,3.89,0.33
CLRB,1.86,1.47,0.79,0.55,0.54,0.36
CBMG,6.59,0.47,5.61,0.37,4.97,0.32
ICEL,4.64,0.78,2.4,0.43,1.73,0.31
CLSN,0.97,0.58,0.61,0.37,0.46,0.28
CEMP,15.08,1.41,6.76,0.56,4.8,0.39
CETV,0.76,0.05,0.76,0.05,0.76,0.05
CENT,0.78,0.05,0.78,0.05,0.78,0.05
CENX,0.71,0.09,0.71,0.09,0.71,0.09
CNTY,0.97,0.01,0.97,0.01,0.97,0.01
CPHD,5.5,0.17,4.17,0.13,3.49,0.11
CERE,0.6,1.46,0.16,0.54,0.1,0.35
CERN,5.58,0.27,4.53,0.21,3.93,0.19
CERU,3.01,0.67,1.79,0.38,1.33,0.28
CERS,5.5,0.85,3.48,0.53,2.73,0.41
KOOL,0.63,0.29,0.54,0.24,0.48,0.21
CEVA,2.12,0.15,1.59,0.12,1.33,0.1
HOTR,1.25,0.17,1.25,0.17,1.25,0.17
CTHR,0.55,0.16,0.55,0.16,0.54,0.16
GTLS,1.01,0.09,1.01,0.09,1.01,0.09
CHTR,1.69,0.05,1.69,0.05,1.69,0.05
CEMI,1.79,0.26,1.11,0.16,0.85,0.12
CCXI,2.68,0.62,1.44,0.35,1.03,0.26
CHKE,3.64,0.27,3.64,0.27,3.64,0.27
PLCE,1.35,0.12,1.35,0.12,1.35,0.12
CMRX,5.29,0.53,3.91,0.35,3.24,0.27
CADC,0.55,0.06,0.52,0.06,0.5,0.06
CALI,0.63,0.07,0.63,0.07,0.63,0.07
CAAS,0.43,0.11,0.4,0.1,0.37,0.09
CBAK,1.41,0.11,1.12,0.1,0.96,0.09
CBPO,5.61,0.26,5.47,0.26,5.36,0.25
HGSH,0.65,0.12,0.65,0.12,0.65,0.12
CHLN,0.65,0.03,0.65,0.03,0.65,0.03
CNIT,0.73,0.09,0.71,0.09,0.69,0.09
CJJD,1.4,0.21,1.4,0.21,1.4,0.21
CHNR,9.69,0.43,9.69,0.43,9.69,0.43
CREG,0.62,0.08,0.62,0.08,0.62,0.08
CPGI,0.24,0.03,0.24,0.03,0.24,0.03
CXDC,0.55,0.16,0.52,0.15,0.5,0.15
CNYD,0.42,0.05,0.42,0.05,0.42,0.05
CNET,1.09,0.33,0.95,0.29,0.87,0.27
CHDN,1.17,0.07,1.17,0.07,1.17,0.07
CHUY,2.28,0.1,2.28,0.1,2.28,0.1
CIFC,0.94,0.01,0.94,0.01,0.94,0.01
CMCT,1.17,0.02,1.17,0.02,1.17,0.02
CMPR,3.05,0.3,2.08,0.2,1.65,0.16
CINF,0.5,0.04,0.5,0.04,0.5,0.04
CIDM,0.9,0.04,0.9,0.04,0.9,0.04
CTAS,2.5,0.14,2.5,0.14,2.5,0.14
CRUS,2.17,0.25,1.65,0.18,1.39,0.15
CSCO,1.6,0.16,1.37,0.14,1.22,0.12
CTRN,1.19,0.09,1.19,0.09,1.19,0.09
CTXS,2.18,0.16,1.7,0.12,1.45,0.11
CDTI,1.32,0.47,0.81,0.29,0.61,0.22
CLNE,1.13,0.05,1.13,0.05,1.13,0.05
CLNT,0.16,0.1,0.16,0.1,0.16,0.1
CLFD,3.8,0.14,3.8,0.14,3.8,0.14
CLRO,1.16,0.19,0.91,0.15,0.77,0.13
CLIR,14.71,1.43,6.73,0.78,4.72,0.58
CBLI,1.56,1.75,0.26,0.38,0.15,0.22
CKSW,15.67,1.03,4.55,0.29,2.9,0.18
CLVS,4.05,0.42,2.99,0.3,2.5,0.25
CMFN,0.92,0.05,0.92,0.05,0.92,0.05
CME,0.44,0.03,0.44,0.03,0.44,0.03
COKE,1.09,0.06,1.09,0.06,1.09,0.06
CDXS,3.75,0.88,1.18,0.28,0.73,0.17
JVA,0.86,0.16,0.86,0.16,0.86,0.16
CCOI,2.9,0.07,2.9,0.07,2.9,0.07
CGNX,4.95,0.26,4.17,0.22,3.71,0.19
CTSH,3.22,0.2,3.22,0.2,3.22,0.2
COHR,1.63,0.16,1.3,0.13,1.11,0.11
COHU,0.78,0.16,0.57,0.12,0.47,0.1
CLRX,3.8,1.67,1.61,0.86,1.15,0.65
CLCT,6.11,0.39,6.11,0.39,6.11,0.39
COLM,2.5,0.14,2.5,0.14,2.5,0.14
CMCO,1.07,0.1,1.07,0.1,1.07,0.1
CBMX,2.84,0.78,2.11,0.63,1.71,0.53
CMCSA,1.25,0.09,1.25,0.09,1.25,0.09
CVGI,0.99,0.07,0.99,0.07,0.99,0.07
COMM,1.63,0.14,1.52,0.13,1.43,0.12
JCS,1.0,0.07,1.0,0.07,1.0,0.07
CVLT,3.04,0.16,2.51,0.13,2.2,0.12
CPSI,6.06,0.5,6.06,0.5,6.06,0.5
CTG,0.8,0.1,0.8,0.1,0.8,0.1
SCOR,5.24,0.22,3.75,0.15,3.07,0.13
CHCI,0.78,0.09,0.78,0.09,0.78,0.09
CMTL,1.05,0.15,0.86,0.12,0.74,0.11
CNSI,0.87,0.13,0.65,0.1,0.54,0.08
CNAT,3.15,0.82,1.79,0.5,1.35,0.39
CNCE,3.61,0.58,1.92,0.33,1.39,0.25
CCUR,0.96,0.31,0.59,0.19,0.44,0.14
CNMD,1.52,0.07,1.42,0.07,1.34,0.06
CTWS,0.9,0.04,0.9,0.04,0.9,0.04
CONN,1.14,0.08,1.14,0.08,1.14,0.08
CNSL,1.09,0.05,1.09,0.05,1.09,0.05
CWCO,1.15,0.04,1.15,0.04,1.15,0.04
CTCT,3.81,0.23,2.66,0.16,2.13,0.13
CPSS,0.13,0.06,0.13,0.06,0.13,0.06
CFRX,3.53,1.29,1.86,0.55,1.34,0.37
CTRV,7.65,1.6,7.25,1.4,6.97,1.29
CTRL,2.18,0.28,1.44,0.18,1.12,0.14
CPRT,2.72,0.19,2.72,0.19,2.72,0.19
CORT,20.25,1.09,7.93,0.48,5.31,0.33
CORE,1.29,0.07,1.29,0.07,1.29,0.07
CORI,3.13,0.35,2.5,0.27,2.16,0.23
CSOD,3.53,0.17,3.1,0.15,2.84,0.14
CNDO,2.05,0.34,1.3,0.22,0.98,0.16
CRVL,3.69,0.23,3.69,0.23,3.69,0.23
COSI,3.13,0.77,3.13,0.77,3.13,0.77
CSGP,3.31,0.07,3.1,0.07,2.95,0.06
COST,2.08,0.1,2.08,0.1,2.08,0.1
CPAH,1.47,0.6,0.7,0.31,0.49,0.22
CRRC,1.39,0.1,1.39,0.1,1.39,0.1
CVTI,1.49,0.08,1.49,0.08,1.49,0.08
COVS,0.66,0.37,0.57,0.32,0.52,0.3
COWN,0.34,0.02,0.34,0.02,0.34,0.02
CPSH,2.91,0.12,2.91,0.12,2.91,0.12
CRAI,0.87,0.08,0.87,0.08,0.87,0.08
CBRL,2.56,0.16,2.56,0.16,2.56,0.16
BREW,1.54,0.03,1.54,0.03,1.54,0.03
CRAY,1.81,0.29,1.31,0.21,1.07,0.17
CACC,2.24,0.19,2.24,0.19,2.24,0.19
CREE,1.18,0.08,1.03,0.07,0.93,0.06
CROX,1.29,0.12,1.29,0.12,1.29,0.12
CCRN,1.33,0.04,1.33,0.04,1.33,0.04
CRDS,4.29,1.11,1.35,0.34,0.84,0.21
CRWS,1.53,0.18,1.53,0.18,1.53,0.18
CRWN,1.79,0.16,1.79,0.16,1.79,0.16
CSGS,1.47,0.21,1.07,0.15,0.87,0.12
CCLP,1.01,0.05,1.01,0.05,1.01,0.05
CSPI,0.53,0.12,0.46,0.1,0.41,0.09
CTCM,1.1,0.18,1.1,0.18,1.1,0.18
CTIC,3.74,2.29,1.5,0.79,1.03,0.52
CTIB,0.77,0.04,0.77,0.04,0.77,0.04
CUI,1.31,0.04,1.27,0.04,1.24,0.04
CPIX,1.21,0.07,1.05,0.06,0.95,0.06
CMLS,0.81,0.04,0.81,0.04,0.81,0.04
CRIS,6.47,0.42,3.88,0.26,2.9,0.2
CUTR,1.85,0.2,1.47,0.16,1.26,0.13
CVV,1.75,0.18,1.66,0.17,1.6,0.16
CYAN,1.74,0.12,1.68,0.11,1.64,0.11
CYBX,5.52,0.48,3.9,0.34,3.15,0.27
CYBE,1.52,0.22,1.0,0.14,0.78,0.11
CYCC,1.07,1.23,0.46,0.57,0.32,0.4
CYNO,1.65,0.1,1.48,0.09,1.36,0.08
CY,6.02,0.27,3.49,0.16,2.57,0.12
CONE,1.49,0.03,1.49,0.03,1.49,0.03
CYTK,1.98,0.72,1.0,0.32,0.71,0.22
CYTX,3.21,1.28,1.47,0.57,1.01,0.39
CTSO,21.15,0.93,11.82,0.57,8.63,0.43
CYTR,3.08,0.86,1.68,0.5,1.25,0.38
DAEG,0.9,0.24,0.51,0.14,0.38,0.11
DJCO,1.14,0.01,1.14,0.01,1.14,0.01
DAKT,1.37,0.16,1.14,0.13,1.01,0.12
